path,label,raw_response,valid
data/raw/captcha_20260525_004938_1.png,PG1G,PG1G,1
data/raw/captcha_20260525_004943_2.png,SKMA,SKMA,1
data/raw/captcha_20260525_004948_3.png,06YV,06YV,1
data/raw/captcha_20260525_004953_4.png,zhs5,zhs5,1
data/raw/captcha_20260525_004958_5.png,CCAT,CCAT,1
data/raw/captcha_20260525_014652_000001.jpg,sebl,sebl,1
data/raw/captcha_20260525_014653_000002.jpg,RCWM,RCWM,1
data/raw/captcha_20260525_014730_000001.jpg,pwgl,pwgl,1
data/raw/captcha_20260525_014731_000002.jpg,0942,0942,1
data/raw/captcha_20260525_014732_000003.jpg,43kl,43kl,1
data/raw/captcha_20260525_014733_000004.jpg,lnp7,lnp7,1
data/raw/captcha_20260525_014734_000005.jpg,T39K,T39K,1
data/raw/captcha_20260525_014735_000006.jpg,xqsf,xqsf,1
data/raw/captcha_20260525_014736_000007.jpg,SAIT,SAIT,1
data/raw/captcha_20260525_014737_000008.jpg,3cqc,3cqc,1
data/raw/captcha_20260525_014738_000009.jpg,UR5N,UR5N,1
data/raw/captcha_20260525_014739_000010.jpg,EUCM,EUCM,1
data/raw/captcha_20260525_014740_000011.jpg,A561,A561,1
data/raw/captcha_20260525_014741_000012.jpg,8295,8295,1
data/raw/captcha_20260525_014742_000013.jpg,T22K,T22K,1
data/raw/captcha_20260525_014743_000014.jpg,9t7t,9t7t,1
data/raw/captcha_20260525_014744_000015.jpg,59VC,59VC,1
data/raw/captcha_20260525_014745_000016.jpg,A0T2,A0T2,1
data/raw/captcha_20260525_014746_000017.jpg,G201,G201,1
data/raw/captcha_20260525_014747_000018.jpg,D5KS,D5KS,1
data/raw/captcha_20260525_014748_000019.jpg,DKY7,DKY7,1
data/raw/captcha_20260525_014749_000020.jpg,chbk,chbk,1
data/raw/captcha_20260525_014750_000021.jpg,MXJJ,MXJJ,1
data/raw/captcha_20260525_014751_000022.jpg,B0QK,B0QK,1
data/raw/captcha_20260525_014752_000023.jpg,votv,votv,1
data/raw/captcha_20260525_014753_000024.jpg,vvnc,vvnc,1
data/raw/captcha_20260525_014754_000025.jpg,U12G,U12G,1
data/raw/captcha_20260525_014755_000026.jpg,SF6J,SF6J,1
data/raw/captcha_20260525_014756_000027.jpg,UKMT,UKMT,1
data/raw/captcha_20260525_014757_000028.jpg,FUYQ,FUYQ,1
data/raw/captcha_20260525_014758_000029.jpg,BF4F,BF4F,1
data/raw/captcha_20260525_014759_000030.jpg,TWYX,T W Y X,1
data/raw/captcha_20260525_014800_000031.jpg,sxck,sxck,1
data/raw/captcha_20260525_014801_000032.jpg,FV5A,FV5A,1
data/raw/captcha_20260525_014802_000033.jpg,b5h4,b5h4,1
data/raw/captcha_20260525_014803_000034.jpg,TLAR,TLAR,1
data/raw/captcha_20260525_014804_000035.jpg,01hx,01hx,1
data/raw/captcha_20260525_014805_000036.jpg,16c5,16c5,1
data/raw/captcha_20260525_014806_000037.jpg,V671,V671,1
data/raw/captcha_20260525_014807_000038.jpg,AZJO,AZJO,1
data/raw/captcha_20260525_014808_000039.jpg,8GFJ,8GFJ,1
data/raw/captcha_20260525_014809_000040.jpg,3R2A,3R2A,1
data/raw/captcha_20260525_014810_000041.jpg,NOGH,NOGH,1
data/raw/captcha_20260525_014811_000042.jpg,0047,0047,1
data/raw/captcha_20260525_014812_000043.jpg,itmu,itmu,1
data/raw/captcha_20260525_014813_000044.jpg,yb1s,yb1s,1
data/raw/captcha_20260525_014814_000045.jpg,S5JY,S5JY,1
data/raw/captcha_20260525_014815_000046.jpg,8lyb,8lyb,1
data/raw/captcha_20260525_014816_000047.jpg,QHP8,QHP8,1
data/raw/captcha_20260525_014817_000048.jpg,m4fc,m4fc,1
data/raw/captcha_20260525_014818_000049.jpg,hwwu,hwwu,1
data/raw/captcha_20260525_014819_000050.jpg,0goe,0goe,1
data/raw/captcha_20260525_014820_000051.jpg,BKsx,BKsx,1
data/raw/captcha_20260525_014821_000052.jpg,npds,npds,1
data/raw/captcha_20260525_014822_000053.jpg,DEFD,DEFD,1
data/raw/captcha_20260525_014823_000054.jpg,oonn,oonn,1
data/raw/captcha_20260525_014824_000055.jpg,U70G,U70G,1
data/raw/captcha_20260525_014825_000056.jpg,MPE6,MPE6,1
data/raw/captcha_20260525_014826_000057.jpg,GIOL,GI OL,1
data/raw/captcha_20260525_014827_000058.jpg,Y4W7,Y4W7,1
data/raw/captcha_20260525_014828_000059.jpg,SDV7,SDV7,1
data/raw/captcha_20260525_014829_000060.jpg,8Q57,8Q57,1
data/raw/captcha_20260525_014830_000061.jpg,A7BC,A7BC,1
data/raw/captcha_20260525_014831_000062.jpg,AFD4,AFD4,1
data/raw/captcha_20260525_014832_000063.jpg,8A05,8A05,1
data/raw/captcha_20260525_014833_000064.jpg,TBVO,TBVO,1
data/raw/captcha_20260525_014834_000065.jpg,TVY3,TVY3,1
data/raw/captcha_20260525_014835_000066.jpg,ZOEQ,ZOEQ,1
data/raw/captcha_20260525_014836_000067.jpg,,ＷＰ６Ｓ,0
data/raw/captcha_20260525_014837_000068.jpg,338c,338c,1
data/raw/captcha_20260525_014838_000069.jpg,37p2,37p2,1
data/raw/captcha_20260525_014839_000070.jpg,TA54,TA54,1
data/raw/captcha_20260525_014840_000071.jpg,FX4I,FX4I,1
data/raw/captcha_20260525_014841_000072.jpg,08cu,08cu,1
data/raw/captcha_20260525_014842_000073.jpg,E8K4,E8K4,1
data/raw/captcha_20260525_014843_000074.jpg,REZG,REZG,1
data/raw/captcha_20260525_014844_000075.jpg,GVMB,GVMB,1
data/raw/captcha_20260525_014845_000076.jpg,1508,1508,1
data/raw/captcha_20260525_014846_000077.jpg,AVZZ,AVZZ,1
data/raw/captcha_20260525_014847_000078.jpg,33yh,33yh,1
data/raw/captcha_20260525_014848_000079.jpg,GYBO,GYBO,1
data/raw/captcha_20260525_014849_000080.jpg,XQBT,XQBT,1
data/raw/captcha_20260525_014850_000081.jpg,F2CR,F2CR,1
data/raw/captcha_20260525_014851_000082.jpg,9m27,9m27,1
data/raw/captcha_20260525_014852_000083.jpg,A3SD,A3SD,1
data/raw/captcha_20260525_014853_000084.jpg,xfls,xfls,1
data/raw/captcha_20260525_014854_000085.jpg,AP2R,AP2R,1
data/raw/captcha_20260525_014855_000086.jpg,3ees,3ees,1
data/raw/captcha_20260525_014856_000087.jpg,BB9J,BB9J,1
data/raw/captcha_20260525_014857_000088.jpg,ek2t,ek2t,1
data/raw/captcha_20260525_014858_000089.jpg,C095,C095,1
data/raw/captcha_20260525_014859_000090.jpg,7xfj,7xfj,1
data/raw/captcha_20260525_014900_000091.jpg,c3a3,c3a3,1
data/raw/captcha_20260525_014901_000092.jpg,KH3W,KH3W,1
data/raw/captcha_20260525_014902_000093.jpg,V6E9,V6E9,1
data/raw/captcha_20260525_014903_000094.jpg,s146,s146,1
data/raw/captcha_20260525_014904_000095.jpg,4YVL,4YVL,1
data/raw/captcha_20260525_014905_000096.jpg,99ZG,99ZG,1
data/raw/captcha_20260525_014906_000097.jpg,z0V9,z0V9,1
data/raw/captcha_20260525_014907_000098.jpg,BYON,BYON,1
